"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1851592007380332838","Wed Oct 30 16:32:18 +0000 2024","0","@locjtus org cantik gabole galau","1851663427502268581","","locjtus","in","","0","2","0","https://x.com/gempwiy/status/1851663427502268581","877621309248634881","gempwiy"
"1851592007380332838","Wed Oct 30 16:32:11 +0000 2024","0","@locjtus cantik gini klo galau si sayang","1851663400088310119","","locjtus","in","","0","1","0","https://x.com/gempwiy/status/1851663400088310119","877621309248634881","gempwiy"
"1851565927625826399","Wed Oct 30 16:31:28 +0000 2024","0","@ayyuaspita19 ritsuki lucu bgt pls","1851663220920160479","","ayyuaspita19","in","","0","0","0","https://x.com/khaaaisya/status/1851663220920160479","1261014312048447488","khaaaisya"
"1851565927625826399","Wed Oct 30 16:16:05 +0000 2024","0","@ayyuaspita19 ritsuki lucu banget","1851659346624844159","","ayyuaspita19","in","Agust D 🥢","0","0","0","https://x.com/minesuga27/status/1851659346624844159","3080162052","minesuga27"
"1851603333490057335","Wed Oct 30 16:03:23 +0000 2024","0","@nocontextellay kok mirip ritsuki gini","1851656153249505727","","nocontextellay","in","","0","0","0","https://x.com/DoNotTalkToo/status/1851656153249505727","1763375848902840321","DoNotTalkToo"
"1851651816242741250","Wed Oct 30 15:49:24 +0000 2024","1","Aku juga terlalu banyak ngeluh dan berisik. Pdhl contoh dua orang ini mungkin ga seberuntung aku kesehatan materi dllnya. Ga eling khasnya Ritsuki itu dalem artinya ga inget gaada evaluasi. Ayolah dhiq sadar sadar sadar ayo bisa pasti kalahin dirimu sendiri.","1851652633045737604","","yoigasih","in","Bakpia city","0","1","0","https://x.com/yoigasih/status/1851652633045737604","1427617878954610703","yoigasih"
"1851565927625826399","Wed Oct 30 15:45:30 +0000 2024","0","@ayyuaspita19 wkwkw ritsuki mah beda","1851651653260423357","","ayyuaspita19","in","dimensi seni","0","0","0","https://x.com/akuberddebu/status/1851651653260423357","1373924937988071426","akuberddebu"
"1851565927625826399","Wed Oct 30 15:21:59 +0000 2024","0","@ayyuaspita19 cuma ritsuki yah haha","1851645734749393057","","ayyuaspita19","in","","0","0","0","https://x.com/proses_dewasa/status/1851645734749393057","1199854684892057600","proses_dewasa"
"1851513059237642747","Wed Oct 30 15:18:17 +0000 2024","0","@ftroubel Nonton ritsuki ria sw. Kadang random juga","1851644801634226210","","ftroubel","in","","0","0","0","https://x.com/zixlyn/status/1851644801634226210","1233402245888212993","zixlyn"
"1851633749878059366","Wed Oct 30 14:55:33 +0000 2024","0","@krystald Wkwkwk lucu banget itu kakaknya ritsuki?","1851639082134462903","","krystald","in","Elias/jiro","0","1","0","https://x.com/mandadory/status/1851639082134462903","3268820959","mandadory"
"1851570684687994944","Wed Oct 30 14:53:21 +0000 2024","0","@xxmyeonxx Kak cla udh pernah ketemu ritsuki belum?","1851638528809320572","","xxmyeonxx","in","","0","0","0","https://x.com/Nrissss_/status/1851638528809320572","1563840597387255809","Nrissss_"
"1851565927625826399","Wed Oct 30 14:44:15 +0000 2024","0","@ayyuaspita19 ritsuki emang beda sih","1851636236336919002","","ayyuaspita19","in","Old Trafford","0","0","0","https://x.com/dudinq__/status/1851636236336919002","1172012865961611269","dudinq__"
"1851632639788061183","Wed Oct 30 14:36:57 +0000 2024","0","@syavelle Dari pagi aku dispam pictnya dede ritsuki ","1851634399730634884","","syavelle","in"," 月光","0","0","0","https://x.com/Superficcials/status/1851634399730634884","829636252898963458","Superficcials"
"1851634240355799287","Wed Oct 30 14:36:19 +0000 2024","1","tdk sabar mllihat konten abe dan ritsuki‍↕️","1851634240355799287","","","in","","0","1","1","https://x.com/aluaulia/status/1851634240355799287","2882133715","aluaulia"
"1851566147776508294","Wed Oct 30 14:34:49 +0000 2024","0","@_twistedtangled yah padahal MINAT BANGET soalnya kemaren aku agak diketawain gt grgr nangis kejer kayak ritsuki","1851633863791190265","","_twistedtangled","in","zb1 241026","0","1","0","https://x.com/gonuking/status/1851633863791190265","867518715813703681","gonuking"
"1851565927625826399","Wed Oct 30 14:29:13 +0000 2024","0","@ayyuaspita19 Beda dari yang lain sih emang ritsuki","1851632456618967289","","ayyuaspita19","in","","0","0","0","https://x.com/bsapphirect/status/1851632456618967289","1581843948838223872","bsapphirect"
"1851565927625826399","Wed Oct 30 14:24:05 +0000 2024","0","@ayyuaspita19 Biasalah ritsuki ya","1851631162286116915","","ayyuaspita19","in","","0","0","0","https://x.com/ootd_racunmu/status/1851631162286116915","751877522","ootd_racunmu"
"1851565927625826399","Wed Oct 30 14:20:08 +0000 2024","0","@ayyuaspita19 lucu bgt ritsuki","1851630167241720319","","ayyuaspita19","in","Indonesia","0","0","0","https://x.com/produxtif/status/1851630167241720319","1300664296007897088","produxtif"
"1851565927625826399","Wed Oct 30 14:02:51 +0000 2024","0","@ayyuaspita19 ekspresinya ritsuki ga ngebosenin","1851625820613407160","","ayyuaspita19","in","ui","0","0","0","https://x.com/zioshall/status/1851625820613407160","1735848041238900736","zioshall"
